id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_secondary_lat,closest_secondary_long,closest_train_lat,closest_train_long,closest_tram_lat,closest_tram_long,closest_bus_lat,closest_bus_long,closest_park_lat,closest_park_long
434858051,26 Shelley Street,Richmond,3121,550,House,3,1,0,0,N,-37.811654,144.993373,-37.81363,144.99574,-37.80298,144.9905,-37.810398,144.9925,-37.809694,144.992962,-37.810424,144.991386,-37.80745804,145.00663
434857515,8/46-50 Baker Street,Richmond,3121,345,Apartment,1,1,1,0,N,-37.81206704,145.0033015,-37.81464,145.00748,-37.81648,145.00226,-37.810398,144.9925,-37.810976,145.00423,-37.80187,145.007189,-37.80745804,145.00663
434857347,19A Kent Street,Richmond,3121,765,Townhouse,3,2,2,0,N,-37.81449731,145.0012876,-37.81363,144.99574,-37.81648,145.00226,-37.810398,144.9925,-37.81433,145.000039,-37.812662,144.990985,-37.80745804,145.00663
434856775,10/239 Lennox Street,Richmond,3121,350,Apartment,1,1,1,0,N,-37.82123172,144.9942728,-37.81363,144.99574,-37.83731,144.96665,-37.824074,144.990164,-37.818023,144.993577,-37.821125,144.989506,-37.83096796,145.0029147
435061667,1/4 Margaret Street,Richmond,3121,950,Townhouse,3,3,2,0,N,-37.82312973,144.9901762,-37.83169,144.9848,-37.83731,144.96665,-37.824074,144.990164,-37.824677,144.989057,-37.824442,144.989007,-37.83096796,145.0029147
434958155,209A/8 Balmain Street,Richmond,3121,405,Apartment,1,1,1,0,N,-37.82987523,144.9907161,-37.83169,144.9848,-37.83169,144.9848,-37.824074,144.990164,-37.82524,144.993484,-37.831532,144.988837,-37.83096796,145.0029147
422504986,42 Strafford Street,Richmond,3121,650,House,2,1,1,0,N,-37.822986,145.006972,-37.81585,145.00824,-37.81741,145.0028,-37.82756,145.007555,-37.81948,145.007772,-37.834738,145.004646,-37.83096796,145.0029147
434854539,180 Coppin Street,Richmond,3121,650,House,2,1,0,0,N,-37.824149,145.002623,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.826102,145.002345,-37.834053,145.000381,-37.83096796,145.0029147
435058911,44 Gibdon Street,Burnley,3121,780,House,2,1,2,0,N,-37.829607,145.010418,-37.82957,144.99907,-37.82251,145.01433,-37.82756,145.007555,-37.827048,145.009784,-37.837171,145.008887,-37.83096796,145.0029147
434743659,5/13 Lambert Street,Richmond,3121,330,Apartment,1,1,1,0,N,-37.812293,145.00284,-37.81464,145.00748,-37.81648,145.00226,-37.810398,144.9925,-37.810829,145.004041,-37.80187,145.007189,-37.80745804,145.00663
435056811,9/69 River Street,Richmond,3121,895,Apartment,3,2,2,0,N,-37.81889443,145.0145123,-37.82011,145.01838,-37.82251,145.01433,-37.821826,145.022899,-37.820099,145.01397,-37.821346,145.02382,-37.81742702,145.0151437
435056415,512/154 Cremorne Street,Cremorne,3121,575,Apartment,2,2,1,0,N,-37.82982804,144.990135,-37.83169,144.9848,-37.83169,144.9848,-37.824074,144.990164,-37.824677,144.989057,-37.831532,144.988837,-37.83096796,145.0029147
435056247,5A Mulberry Street,Richmond,3121,1250,House,3,2,2,0,N,-37.81901035,144.9926028,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.818023,144.993577,-37.817298,144.990178,-37.83096796,145.0029147
434953311,5 Cole Street,Richmond,3121,1025,House,4,2,0,0,N,-37.81241219,145.0055867,-37.81464,145.00748,-37.81648,145.00226,-37.810398,144.9925,-37.811111,145.006873,-37.803747,145.01158,-37.80745804,145.00663
435056215,26 Buckingham Street,Richmond,3121,625,House,2,2,1,0,N,-37.81394306,145.0014837,-37.80898,144.99881,-37.81648,145.00226,-37.810398,144.9925,-37.81433,145.000039,-37.812662,144.990985,-37.80745804,145.00663
435056075,210/172 Lennox Street,Richmond,3121,800,Apartment,2,2,1,0,N,-37.81860305,144.9943285,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.817909,144.993808,-37.817298,144.990178,-37.83096796,145.0029147
435054755,11 Shelley Street,Richmond,3121,450,House,2,1,0,0,N,-37.810682,144.993944,-37.81363,144.99574,-37.80298,144.9905,-37.810398,144.9925,-37.809694,144.992962,-37.810424,144.991386,-37.80745804,145.00663
434737751,427 Punt Road,Richmond,3121,890,House,3,1,3,0,N,-37.827236,144.988622,-37.83169,144.9848,-37.83169,144.9848,-37.824074,144.990164,-37.824677,144.989057,-37.824778,144.9886,-37.83096796,145.0029147
434949083,504/154 Cremorne street,Cremorne,3121,430,Apartment,1,1,0,0,N,-37.82982804,144.990135,-37.83169,144.9848,-37.83169,144.9848,-37.824074,144.990164,-37.824677,144.989057,-37.831532,144.988837,-37.83096796,145.0029147
435133607,2/20 Bellevue Street,Richmond,3121,425,Unit,1,1,1,0,N,-37.82433453,145.013467,-37.82011,145.01838,-37.82251,145.01433,-37.82756,145.007555,-37.827198,145.01228,-37.821346,145.02382,-37.81742702,145.0151437
